stx_ident,count
stx/stx/2017-05-29 03_30_00.npz,7
stx/stx/2017-07-26 22_30_00.npz,7
stx/stx/2017-08-11 18_00_00.npz,2
stx/stx/2017-11-15 12_30_00.npz,1
stx/stx/2017-08-15 18_00_00.npz,3
stx/stx/2017-07-13 20_30_00.npz,6
stx/stx/2017-04-11 20_30_00.npz,3
stx/stx/2017-07-05 19_00_00.npz,3
stx/stx/2017-08-30 02_00_00.npz,11
stx/stx/2017-07-27 23_00_00.npz,2
stx/stx/2017-07-10 18_00_00.npz,4
stx/stx/2017-07-31 00_00_00.npz,14
stx/stx/2017-10-22 01_00_00.npz,1
stx/stx/2017-07-08 21_00_00.npz,6
stx/stx/2017-12-05 18_30_00.npz,8
stx/stx/2017-07-11 23_30_00.npz,7
stx/stx/2017-05-11 11_30_00.npz,2
stx/stx/2017-01-16 06_30_00.npz,6
stx/stx/2017-10-04 22_30_00.npz,1
stx/stx/2017-09-29 23_00_00.npz,11
stx/stx/2017-06-19 16_30_00.npz,4
stx/stx/2017-03-05 23_00_00.npz,6
stx/stx/2017-02-27 10_00_00.npz,2
stx/stx/2017-06-30 22_30_00.npz,5
stx/stx/2017-09-21 17_30_00.npz,6
stx/stx/2017-09-03 14_00_00.npz,3
stx/stx/2017-01-06 16_30_00.npz,16
stx/stx/2017-01-17 07_30_00.npz,1
stx/stx/2017-05-28 01_30_00.npz,2
stx/stx/2017-08-29 20_30_00.npz,4
stx/stx/2017-03-25 11_30_00.npz,6
stx/stx/2017-07-23 15_00_00.npz,8
stx/stx/2017-05-19 00_00_00.npz,9
stx/stx/2017-08-08 23_00_00.npz,10
stx/stx/2017-03-11 13_30_00.npz,4
stx/stx/2017-03-24 21_30_00.npz,5
stx/stx/2017-08-06 23_00_00.npz,6
stx/stx/2017-07-08 02_00_00.npz,2
stx/stx/2017-10-15 12_30_00.npz,8
stx/stx/2017-04-21 16_00_00.npz,8
stx/stx/2017-07-01 10_30_00.npz,6
stx/stx/2017-05-10 17_00_00.npz,5
stx/stx/2017-07-12 22_00_00.npz,12
stx/stx/2017-01-17 01_00_00.npz,15
stx/stx/2017-01-01 10_30_00.npz,6
stx/stx/2017-08-23 13_00_00.npz,2
stx/stx/2017-06-05 14_30_00.npz,2
stx/stx/2017-10-20 15_30_00.npz,3
stx/stx/2017-12-22 07_30_00.npz,1
stx/stx/2017-08-06 03_30_00.npz,1
stx/stx/2017-12-03 19_30_00.npz,1
stx/stx/2017-05-28 12_30_00.npz,5
stx/stx/2017-03-12 03_00_00.npz,4
stx/stx/2017-07-16 18_00_00.npz,7
stx/stx/2017-01-16 04_30_00.npz,1
stx/stx/2017-11-08 22_30_00.npz,20
stx/stx/2017-06-04 01_00_00.npz,1
stx/stx/2017-04-16 23_00_00.npz,6
stx/stx/2017-07-14 01_30_00.npz,6
stx/stx/2017-08-04 21_30_00.npz,6
stx/stx/2017-07-08 16_30_00.npz,1
stx/stx/2017-07-09 11_30_00.npz,1
stx/stx/2017-01-18 21_00_00.npz,12
stx/stx/2017-09-06 07_00_00.npz,1
stx/stx/2017-08-06 17_30_00.npz,6
stx/stx/2017-08-02 02_30_00.npz,4
stx/stx/2017-12-23 03_00_00.npz,17
stx/stx/2017-07-21 22_30_00.npz,9
stx/stx/2017-12-18 21_30_00.npz,3
stx/stx/2017-03-10 13_30_00.npz,5
stx/stx/2017-09-29 20_00_00.npz,20
stx/stx/2017-07-18 11_30_00.npz,4
stx/stx/2017-06-18 15_00_00.npz,3
stx/stx/2017-06-19 19_00_00.npz,2
stx/stx/2017-06-27 02_00_00.npz,1
stx/stx/2017-03-12 02_00_00.npz,11
stx/stx/2017-04-16 22_30_00.npz,5
stx/stx/2017-06-07 04_30_00.npz,5
stx/stx/2017-10-04 13_00_00.npz,1
stx/stx/2017-12-20 02_00_00.npz,10
stx/stx/2017-07-28 12_30_00.npz,3
stx/stx/2017-04-02 15_00_00.npz,6
stx/stx/2017-12-04 20_00_00.npz,8
stx/stx/2017-10-20 09_30_00.npz,2
stx/stx/2017-04-21 10_00_00.npz,14
stx/stx/2017-06-30 21_30_00.npz,9
stx/stx/2017-09-16 20_00_00.npz,4
stx/stx/2017-04-29 09_30_00.npz,5
stx/stx/2017-08-01 13_30_00.npz,6
stx/stx/2017-04-02 10_00_00.npz,4
stx/stx/2017-07-05 22_00_00.npz,5
stx/stx/2017-08-06 22_00_00.npz,4
stx/stx/2017-08-07 02_00_00.npz,2
stx/stx/2017-03-10 01_00_00.npz,3
stx/stx/2017-09-30 01_30_00.npz,15
stx/stx/2017-02-20 05_00_00.npz,1
stx/stx/2017-09-29 03_30_00.npz,5
stx/stx/2017-12-18 20_30_00.npz,6
stx/stx/2017-12-22 19_30_00.npz,9
stx/stx/2017-03-11 11_00_00.npz,2
stx/stx/2017-06-01 15_00_00.npz,3
stx/stx/2017-06-03 17_00_00.npz,1
stx/stx/2017-06-11 21_30_00.npz,10
stx/stx/2017-08-22 19_00_00.npz,4
stx/stx/2017-09-15 18_00_00.npz,2
stx/stx/2017-07-03 10_00_00.npz,5
stx/stx/2017-05-19 04_30_00.npz,1
stx/stx/2017-09-17 21_30_00.npz,2
stx/stx/2017-05-17 00_30_00.npz,1
stx/stx/2017-01-14 16_30_00.npz,3
stx/stx/2017-05-28 20_30_00.npz,11
stx/stx/2017-08-17 14_30_00.npz,5
stx/stx/2017-01-21 00_30_00.npz,10
stx/stx/2017-10-22 03_30_00.npz,1
stx/stx/2017-10-03 20_30_00.npz,3
stx/stx/2017-08-03 00_00_00.npz,4
stx/stx/2017-11-08 11_30_00.npz,2
stx/stx/2017-08-04 12_00_00.npz,2
