begin,end,index
2017-10-10 00:00:00,2017-10-10 14:30:00,312
2017-10-10 16:00:00,2017-10-10 19:30:00,313
2017-10-15 03:00:00,2017-10-15 14:30:00,314
2017-10-20 00:00:00,2017-10-20 21:30:00,315
2017-10-21 21:00:00,2017-10-22 17:30:00,316
2017-10-22 19:00:00,2017-10-22 19:30:00,317
2017-10-27 16:00:00,2017-10-27 20:30:00,318
2017-10-31 16:00:00,2017-11-01 04:30:00,319
2017-11-01 06:00:00,2017-11-01 14:30:00,320
2017-11-01 16:00:00,2017-11-01 16:30:00,321
2017-11-08 10:00:00,2017-11-08 23:30:00,322
2017-11-09 01:00:00,2017-11-09 01:30:00,323
2017-11-09 05:00:00,2017-11-09 08:30:00,324
2017-11-12 13:00:00,2017-11-12 13:30:00,325
2017-11-12 15:00:00,2017-11-12 18:30:00,326
2017-11-15 12:00:00,2017-11-15 15:30:00,327
2017-11-16 14:00:00,2017-11-16 15:30:00,328
2017-11-16 19:00:00,2017-11-16 19:30:00,329
2017-11-21 21:00:00,2017-11-21 21:30:00,330
2017-11-29 06:00:00,2017-11-29 06:30:00,331
2017-11-29 11:00:00,2017-11-29 11:30:00,332
2017-12-03 16:00:00,2017-12-04 01:30:00,333
2017-12-04 03:00:00,2017-12-04 08:30:00,334
2017-12-04 19:00:00,2017-12-05 20:30:00,335
2017-12-06 02:00:00,2017-12-06 10:30:00,336
2017-12-06 12:00:00,2017-12-06 12:30:00,337
2017-12-16 21:00:00,2017-12-16 21:30:00,338
2017-12-17 01:00:00,2017-12-17 08:30:00,339
2017-12-18 20:00:00,2017-12-19 02:30:00,340
2017-12-19 09:00:00,2017-12-20 10:30:00,341
2017-12-22 07:00:00,2017-12-23 05:30:00,342
2017-12-26 13:00:00,2017-12-26 13:30:00,343
2017-12-28 01:00:00,2017-12-28 01:30:00,344
